Name,Size,Toughness,Cost,Features,Notes
Abandoned Warehouse,Medium,8,2,Garage,"A simple warehouse hideout."
Mansion,Large,8,3,Living Quarters,"A sprawling estate with secret rooms."
Skyscraper (Penthouse),Large,10,4,Communications,"High-security city base."
Sanctum Sanctorum,Medium,10,3,Library,"A mystical or high-tech library base."
Secret Cave,Huge,8,4,Concealed,"Hidden underground lair."
Orbital Station,Large,12,5,Sealed,"High-tech space station."
Underwater Base,Huge,12,6,Sealed,"Reinforced deep-sea laboratory."
Castle,Huge,10,5,Defense System,"Large ancient or modern fortress."
Private Island,Colossal,8,6,Dock,"Isolated landmass base."
Police Station,Large,10,4,Holding Cells,"Standard metropolitan precinct."
Military Bunker,Medium,14,5,Reinforced,"Hardened underground survival base."
Moon Base,Huge,12,7,Sealed,"Advanced lunar installation."
Batcave,Huge,10,4,"Computer, Concealed, Communications, Garage, Laboratory, Workshop, Library, Gym, Power System, Security System","A legendary secret lair."
Avengers Mansion,Large,8,3,"Living Quarters, Personnel, Communications, Computer, Gym, Library, Laboratory, Hangar, Garage, Security System","Classic superhero headquarters."
Fortress of Solitude,Huge,14,5,"Sealed, Concealed, Library, Laboratory, Communications, Computer, Defense System, Power System, Personnel","Arctic crystalline sanctuary."
Baxter Building,Huge,10,4,"Laboratory, Workshop, Communications, Computer, Hangar, Living Quarters, Power System, Security System","Urban skyscraper for inventors."
Watchtower,Colossal,12,6,"Sealed, Communications, Computer, Defense System, Power System, Personnel, Hangar, Infirmary, Holding Cells","Space-faring orbital base."
Infirmary,N/A,N/A,1,Infirmary,"Medical treatment facility feature."
Laboratory,N/A,N/A,1,Laboratory,"Scientific research facility feature."
Workshop,N/A,N/A,1,Workshop,"Mechanical repair and creation facility feature."
Holding Cells,N/A,N/A,1,Holding Cells,"Security containment facility feature."
Power System,N/A,N/A,1,Power System,"Independent energy source feature."
Self-Destruct,N/A,N/A,1,Self-Destruct,"Emergency destruction mechanism feature."
Garage,N/A,N/A,1,Garage,"Vehicle storage and maintenance feature."
Hangar,N/A,N/A,1,Hangar,"Aircraft storage and maintenance feature."
Gym,N/A,N/A,1,Gym,"Training and physical therapy facility feature."
Personnel,N/A,N/A,1,Personnel,"Support staff and guards feature."
Security System,N/A,N/A,1,Security System,"Advanced monitoring and access control feature."
Defense System,N/A,N/A,1,Defense System,"Automated weaponry and shields feature."
Concealed,N/A,N/A,1,Concealed,"Hidden location or cloaking feature."
Sealed,N/A,N/A,1,Sealed,"Self-contained life support and airtight feature."
Dock,N/A,N/A,1,Dock,"Watercraft storage and maintenance feature."
Library,N/A,N/A,1,Library,"Data and information storage facility feature."
Living Quarters,N/A,N/A,1,Living Quarters,"Residential facilities for occupants feature."
Communications,N/A,N/A,1,Communications,"Advanced signal broadcasting and receiving feature."
Computer,N/A,N/A,1,Computer,"Advanced data processing and analysis feature."
